"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","model","sample"
"1","(Intercept)",0.026146158064989,0.00190201831763434,13.7465332602625,7.90422828552366e-43,0.0224180737051855,0.0298742424247925,22910,"riskiest_citations_3mo","A1","DC"
"2","mailer",0.000144781696788225,0.0037098353290524,0.0390264483316586,0.968869642002198,-0.00712674610053007,0.00741630949410652,22910,"riskiest_citations_3mo","A1","DC"
"3","(Intercept)",0.726151821830013,0.0144081799089624,50.3985809740149,0,0.697910816118435,0.754392827541592,22910,"num_citations_3mo","B1","DC"
"4","mailer",-0.044957215808383,0.0271760303014261,-1.65429664707225,0.0980809529021168,-0.0982240705957249,0.00830963897895882,22910,"num_citations_3mo","B1","DC"
"5","(Intercept)",0.021643264729022,0.00207280000563104,10.4415595668782,1.82294922147573e-25,0.0175804403195465,0.0257060891384975,23300,"riskiest_citations_3mo","C1","DC"
"6","assignmentMailer",-0.00034899304901615,0.00396124383326401,-0.0881018850911242,0.92979645526743,-0.00811329162772525,0.00741530552969295,23300,"riskiest_citations_3mo","C1","DC"
"7","assignmentText",0.00785111849837418,0.00435921818572285,1.80103820544883,0.0717097833077868,-0.000693235999440687,0.0163954729961891,23300,"riskiest_citations_3mo","C1","DC"
"8","assignmentBoth",-0.00156048874495449,0.00328088552469619,-0.475630354429691,0.634342205142921,-0.00799124026860301,0.00487026277869403,23300,"riskiest_citations_3mo","C1","DC"
"9","(Intercept)",0.712172070636574,0.0170408499692793,41.7920509787043,0,0.678770883341459,0.745573257931689,23300,"num_citations_3mo","D1","DC"
"10","assignmentMailer",-0.0490430633122495,0.0335199261868497,-1.46310176934368,0.143453022706427,-0.114744324382195,0.0166581977576962,23300,"num_citations_3mo","D1","DC"
"11","assignmentText",0.0200092868754055,0.0297419701408481,0.672762657639967,0.501104970028908,-0.0382869317399267,0.0783055054907378,23300,"num_citations_3mo","D1","DC"
"12","assignmentBoth",-0.0253227361661048,0.0278250780370913,-0.910068828283218,0.362795626588829,-0.0798617201189917,0.029216247786782,23300,"num_citations_3mo","D1","DC"
"13","(Intercept)",0.0850996054648638,0.00396378360191985,21.4692864221059,3.00143587108375e-101,0.0773303219017368,0.0928688890279908,22910,"riskiest_citations_12mo","E1","DC"
"14","mailer",0.00927391751127957,0.00908256641681659,1.02106795432937,0.307233026197893,-0.008528526077973,0.0270763611005321,22910,"riskiest_citations_12mo","E1","DC"
"15","(Intercept)",2.73404924110269,0.0396139677980607,69.0173035692863,0,2.65640318879685,2.81169529340854,22910,"num_citations_12mo","F1","DC"
"16","mailer",-0.0235481030168524,0.0853519918254579,-0.275894006844123,0.782631965615869,-0.190843771440451,0.143747565406746,22910,"num_citations_12mo","F1","DC"
"17","(Intercept)",0.0760759776336889,0.00474735828777898,16.0249075426916,1.73777500769647e-57,0.0667708429946901,0.0853811122726877,23300,"riskiest_citations_12mo","G1","DC"
"18","assignmentMailer",0.0144238550525607,0.0113088958274014,1.27544326808738,0.202165108365643,-0.00774232493922024,0.0365900350443416,23300,"riskiest_citations_12mo","G1","DC"
"19","assignmentText",0.0145385459121899,0.0106023913075232,1.37125158754267,0.170309747678364,-0.00624283872983799,0.0353199305542177,23300,"riskiest_citations_12mo","G1","DC"
"20","assignmentBoth",-0.00248707076311807,0.00814263223086211,-0.305438179277164,0.760035175794464,-0.0184471657530141,0.013473024226778,23300,"riskiest_citations_12mo","G1","DC"
"21","(Intercept)",2.75972508274377,0.0497042500521595,55.5229196667834,0,2.66230148190529,2.85714868358224,23300,"num_citations_12mo","H1","DC"
"22","assignmentMailer",0.189384123713753,0.120689464228131,1.5691852219658,0.116618365841544,-0.0471751680174781,0.425943415444984,23300,"num_citations_12mo","H1","DC"
"23","assignmentText",0.076908432630664,0.0895553040038229,0.858781436634741,0.390469945516699,-0.0986258563100391,0.252442721571367,23300,"num_citations_12mo","H1","DC"
"24","assignmentBoth",0.0265001460033289,0.0839990771137672,0.31548139472339,0.752399000681187,-0.13814357261116,0.191143864617818,23300,"num_citations_12mo","H1","DC"
"25","(Intercept)",0.0384436298109806,0.00155190667166466,24.7718696703222,1.03493193454574e-133,0.0354017879228837,0.0414854716990775,22910,"n_crashes","I1","DC"
"26","mailer",0.00147638651303722,0.00325430698381901,0.453671555995814,0.650069539631254,-0.00490227496245514,0.00785504798852957,22910,"n_crashes","I1","DC"
"27","(Intercept)",0.038199883918662,0.00210752277323407,18.1254904591341,6.36101682279794e-73,0.0340690005997891,0.0423307672375349,23300,"n_crashes","J1","DC"
