"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","model","sample"
"1","(Intercept)",0.044848019728374,0.00249491217371232,17.9757909720894,1.01159701793671e-71,0.0399578062189246,0.0497382332378234,21484,"riskiest_citations_3mo","A1","Highest risk"
"2","mailer",0.00383797962949204,0.00520316880467823,0.737623508589857,0.460751321744791,-0.00636061840080371,0.0140365776597878,21484,"riskiest_citations_3mo","A1","Highest risk"
"3","(Intercept)",1.0650653250591,0.0204391786604946,52.1090080355178,0,1.02500301398428,1.10512763613391,21484,"num_citations_3mo","B1","Highest risk"
"4","mailer",0.0138692266728674,0.0422270307685476,0.32844427894745,0.742578969405149,-0.0688988957901477,0.0966373491358825,21484,"num_citations_3mo","B1","Highest risk"
"5","(Intercept)",0.044161610120822,0.00307262361306507,14.3726065024831,1.30253896941284e-46,0.0381390192874491,0.050184200954195,20293,"riskiest_citations_3mo","C1","Highest risk"
"6","assignmentMailer",0.00223093160567777,0.00632358781512465,0.352795228104822,0.724245625610385,-0.0101638120418879,0.0146256752532434,20293,"riskiest_citations_3mo","C1","Highest risk"
"7","assignmentText",1.89111522694128e-05,0.00580783770540663,0.00325614337532332,0.997402010070388,-0.0113649205600071,0.0114027428645459,20293,"riskiest_citations_3mo","C1","Highest risk"
"8","assignmentBoth",-0.00690143278728191,0.00556515504995534,-1.24011509568584,0.214947165076582,-0.0178095868637019,0.00400672128913813,20293,"riskiest_citations_3mo","C1","Highest risk"
"9","(Intercept)",1.06094247688582,0.0256844010541176,41.3068801818815,0,1.01059897314802,1.11128598062363,20293,"num_citations_3mo","D1","Highest risk"
"10","assignmentMailer",0.0477432244542027,0.0597180106438459,0.79947781145859,0.424022765196804,-0.0693089071383555,0.164795356046761,20293,"num_citations_3mo","D1","Highest risk"
"11","assignmentText",0.0642552975377401,0.0455295303705358,1.41128838832308,0.15817492781251,-0.0249862649795225,0.153496860055003,20293,"num_citations_3mo","D1","Highest risk"
"12","assignmentBoth",0.0323300376493884,0.0447725099805983,0.722095715951557,0.470243952410963,-0.0554277036664333,0.12008777896521,20293,"num_citations_3mo","D1","Highest risk"
"13","(Intercept)",0.138246686892307,0.00605434001868043,22.8343116616761,4.76411654725878e-114,0.126379729946044,0.15011364383857,21484,"riskiest_citations_12mo","E1","Highest risk"
"14","mailer",0.00901469794716866,0.0128224833714358,0.703038380790605,0.482039449053161,-0.0161183235949821,0.0341477194893195,21484,"riskiest_citations_12mo","E1","Highest risk"
"15","(Intercept)",3.66949035905566,0.0636773640987151,57.6262917128147,0,3.54467798712422,3.79430273098711,21484,"num_citations_12mo","F1","Highest risk"
"16","mailer",0.0891209346902507,0.131541079614534,0.677514088765346,0.498087129851443,-0.168709369460861,0.346951238841362,21484,"num_citations_12mo","F1","Highest risk"
"17","(Intercept)",0.139809902385021,0.00862161389453375,16.2162101081403,9.07258545762926e-59,0.122910841729068,0.156708963040974,20293,"riskiest_citations_12mo","G1","Highest risk"
"18","assignmentMailer",0.00711383003640875,0.0163388925449802,0.435392424353408,0.663282238838901,-0.0249117210432767,0.0391393811160943,20293,"riskiest_citations_12mo","G1","Highest risk"
"19","assignmentText",-0.00339892383966017,0.0152767449238692,-0.222490056396079,0.823934652259668,-0.0333425796623439,0.0265447319830236,20293,"riskiest_citations_12mo","G1","Highest risk"
"20","assignmentBoth",-0.0149835835504383,0.0133099451648764,-1.12574344708636,0.260287441166493,-0.0410721527464283,0.0111049856455517,20293,"riskiest_citations_12mo","G1","Highest risk"
"21","(Intercept)",3.79829779754342,0.0854842058166922,44.4327435840989,0,3.63074183912384,3.96585375596301,20293,"num_citations_12mo","H1","Highest risk"
"22","assignmentMailer",0.190288917493214,0.189713260002218,1.00303435559006,0.315856245148998,-0.181564418463838,0.562142253450266,20293,"num_citations_12mo","H1","Highest risk"
"23","assignmentText",0.151348069721251,0.144373453664161,1.04830954638874,0.294508497669359,-0.13163557816942,0.434331717611922,20293,"num_citations_12mo","H1","Highest risk"
"24","assignmentBoth",0.0303422603046329,0.13728373009888,0.221018618031274,0.825080159987381,-0.23874495589364,0.299429476502906,20293,"num_citations_12mo","H1","Highest risk"
"25","(Intercept)",0.033803064626691,0.00149902684144845,22.5500062387331,2.62749455793698e-111,0.0308648604733275,0.0367412687800544,21484,"n_crashes","I1","Highest risk"
"26","mailer",0.00135926484901212,0.00314582434269797,0.432085425293127,0.665683663587631,-0.00480678494669117,0.00752531464471542,21484,"n_crashes","I1","Highest risk"
"27","(Intercept)",0.0341145869453169,0.00215724746704195,15.8139422882694,5.38730233012094e-56,0.029886207405083,0.0383429664855507,20293,"n_crashes","J1","Highest risk"
"28","assignmentMailer",-0.0031736552641112,0.00422346515350831,-0.751433988149502,0.452400228452232,-0.0114519886110373,0.00510467808281493,20293,"n_crashes","J1","Highest risk"
"29","assignmentText",0.00600105490877018,0.00372296015520383,1.61190414578628,0.106998350984099,-0.00129624815445029,0.0132983579719907,20293,"n_crashes","J1","Highest risk"
"30","assignmentBoth",-0.000912938899036925,0.00346460224036564,-0.263504678372712,0.792164293560215,-0.00770383954999393,0.00587796175192008,20293,"n_crashes","J1","Highest risk"
"31","(Intercept)",0.0446335586849183,0.00241966172456127,18.4461977605615,1.40846686816554e-75,0.0398909254944631,0.0493761918753735,31307,"riskiest_citations_3mo","K1","Highest risk"
"32","any",0.000387272261476406,0.00398087383324746,0.0972832291850061,0.922502096740532,-0.00741539873874255,0.00818994326169536,31307,"riskiest_citations_3mo","K1","Highest risk"
"33","(Intercept)",1.06378092971456,0.0200164105782371,53.1454391163996,0,1.02454796909097,1.10301389033815,31307,"num_citations_3mo","L1","Highest risk"
"34","any",0.0247608284645799,0.0308512127126752,0.802588497741839,0.42221871121499,-0.0357087751546849,0.0852304320838448,31307,"num_citations_3mo","L1","Highest risk"
"35","(Intercept)",0.138739310584357,0.00634345161418914,21.8712648921327,3.00020946214918e-105,0.126305893192943,0.151172727975772,31307,"riskiest_citations_12mo","M1","Highest risk"
"36","any",-5.59505285772127e-05,0.00998598531322993,-0.00560290515379456,0.995529587571024,-0.0196288788041235,0.0195169777469691,31307,"riskiest_citations_12mo","M1","Highest risk"
"37","(Intercept)",3.70984051740941,0.0645554156062638,57.4675336308956,0,3.58330933597602,3.8363716988428,31307,"num_citations_12mo","N1","Highest risk"
"38","any",0.069179189751094,0.0967251833951136,0.71521383907336,0.474482252430376,-0.120406015679103,0.258764395181291,31307,"num_citations_12mo","N1","Highest risk"
"39","(Intercept)",0.0339039923250771,0.00150377527963103,22.5459167897718,1.1429894551628e-111,0.0309565329913376,0.0368514516588166,31309,"n_crashes","O1","Highest risk"
"40","any",0.00213893578204315,0.0022211873113441,0.962969566375211,0.33557023346231,-0.00221467965603697,0.00649255122012327,31309,"n_crashes","O1","Highest risk"
