"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","model","sample"
"1","(Intercept)",0.0113038825075681,0.00135959785104026,8.31413678604981,9.74961729332852e-17,0.00863897913519354,0.0139687858799427,22949,"riskiest_citations_3mo","A1","Low risk"
"2","mailer",0.000429099195302811,0.00249783305414729,0.171788580742157,0.863605258024982,-0.0044668218482122,0.00532502023881782,22949,"riskiest_citations_3mo","A1","Low risk"
"3","(Intercept)",0.333256886333271,0.00818015396530165,40.7396838429779,0,0.317223233535132,0.34929053913141,22949,"num_citations_3mo","B1","Low risk"
"4","mailer",-0.0160164170858683,0.0162071934269814,-0.988228909467107,0.323050971716205,-0.0477836079410492,0.0157507737693126,22949,"num_citations_3mo","B1","Low risk"
"5","(Intercept)",0.0099376674550065,0.00175566287703937,5.66035062025386,1.52941410909043e-08,0.00649644244922075,0.0133788924607923,22038,"riskiest_citations_3mo","C1","Low risk"
"6","assignmentMailer",0.00281583610097756,0.00403210375381782,0.698354078391799,0.484963156066653,-0.00508737609597847,0.0107190482979336,22038,"riskiest_citations_3mo","C1","Low risk"
"7","assignmentText",0.00187609799646955,0.00257073824218451,0.72978958560764,0.465526567998493,-0.003162733112868,0.0069149291058071,22038,"riskiest_citations_3mo","C1","Low risk"
"8","assignmentBoth",0.00318037330880083,0.00274676656453171,1.15786079161883,0.24693339829048,-0.00220348592211391,0.00856423253971556,22038,"riskiest_citations_3mo","C1","Low risk"
"9","(Intercept)",0.351413502419637,0.0108738950386785,32.3171688865543,6.66152673937046e-224,0.330099889193109,0.372727115646164,22038,"num_citations_3mo","D1","Low risk"
"10","assignmentMailer",0.0153041805081919,0.0251419701747145,0.60871047105065,0.542722639219154,-0.0339758820775405,0.0645842430939242,22038,"num_citations_3mo","D1","Low risk"
"11","assignmentText",-0.00250101320733295,0.0187047517561087,-0.133710045444263,0.893633082291385,-0.0391636665629023,0.0341616401482364,22038,"num_citations_3mo","D1","Low risk"
"12","assignmentBoth",-0.0329428009587016,0.0164796941608531,-1.99899346657512,0.0456213191770779,-0.0652441820357234,-0.000641419881679796,22038,"num_citations_3mo","D1","Low risk"
"13","(Intercept)",0.0372043546376144,0.00240014408292199,15.5008838437403,6.4228273777824e-54,0.0324999105581612,0.0419087987170676,22949,"riskiest_citations_12mo","E1","Low risk"
"14","mailer",0.00713016355679037,0.00752248144616062,0.947847277234498,0.343217188973575,-0.00761440680212896,0.0218747339157097,22949,"riskiest_citations_12mo","E1","Low risk"
"15","(Intercept)",1.32255035441125,0.0227436655248176,58.1502727855411,0,1.27797123793878,1.36712947088372,22949,"num_citations_12mo","F1","Low risk"
"16","mailer",-0.0318210541779437,0.0533926965500543,-0.595981402589626,0.551193528540559,-0.136474336019736,0.0728322276638492,22949,"num_citations_12mo","F1","Low risk"
"17","(Intercept)",0.0364420011405981,0.00290202555740391,12.5574363215458,4.80860399244593e-36,0.0307538231616867,0.0421301791195096,22038,"riskiest_citations_12mo","G1","Low risk"
