"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","model","sample"
"1","(Intercept)",0.0245199628165674,0.00145778359780042,16.8200292921147,3.51613738113105e-63,0.0216626380093618,0.0273772876237731,28474,"riskiest_citations_3mo","A1","Maryland"
"2","mailer",0.00189261783922237,0.00320351911706614,0.590793365065251,0.554663570315839,-0.00438643116185147,0.00817166684029621,28474,"riskiest_citations_3mo","A1","Maryland"
"3","(Intercept)",0.628082079402859,0.0120031733110348,52.3263359719589,0,0.604555291943762,0.651608866861956,28474,"num_citations_3mo","B1","Maryland"
"4","mailer",0.00890789040862829,0.0258209215307545,0.344987315732259,0.730106454754532,-0.0417023371629097,0.0595181179801663,28474,"num_citations_3mo","B1","Maryland"
"5","(Intercept)",0.0263269182220353,0.00202478734283738,13.0023127194892,1.52870230012347e-38,0.0223582391891656,0.0302955972549049,28463,"riskiest_citations_3mo","C1","Maryland"
"6","assignmentMailer",0.00101085599619678,0.00403634670920858,0.250438346609472,0.802250185482519,-0.00690057460953824,0.0089222866019318,28463,"riskiest_citations_3mo","C1","Maryland"
"7","assignmentText",-0.00219069724000674,0.0031490997219893,-0.695658262172424,0.486648549518298,-0.0083630817540077,0.00398168727399422,28463,"riskiest_citations_3mo","C1","Maryland"
"8","assignmentBoth",0.00129820630171464,0.00348720472899826,0.372277053572236,0.709689353050182,-0.00553688002982356,0.00813329263325284,28463,"riskiest_citations_3mo","C1","Maryland"
"9","(Intercept)",0.654105752314233,0.0153860575685324,42.5128886591463,0,0.623948351199116,0.684263153429351,28463,"num_citations_3mo","D1","Maryland"
"10","assignmentMailer",0.056644029818684,0.0377896826631699,1.49892843302148,0.133903289647741,-0.0174255369309563,0.130713596568324,28463,"num_citations_3mo","D1","Maryland"
"11","assignmentText",0.0206867864496803,0.0273554217425915,0.756222537686985,0.449522040929961,-0.0329311350022561,0.0743047079016167,28463,"num_citations_3mo","D1","Maryland"
"12","assignmentBoth",0.0105043436475761,0.0278252362977541,0.377511390565404,0.70579641585397,-0.0440344365705939,0.0650431238657461,28463,"num_citations_3mo","D1","Maryland"
"13","(Intercept)",0.0832762485096651,0.00382832663567798,21.7526497696342,4.59449986177968e-104,0.0757725472177081,0.0907799498016221,28474,"riskiest_citations_12mo","E1","Maryland"
"14","mailer",0.00122322720145955,0.00796838263042694,0.15351009837162,0.877997115186506,-0.0143951796715353,0.0168416340744544,28474,"riskiest_citations_12mo","E1","Maryland"
"15","(Intercept)",2.2990465348644,0.0388188871116009,59.2249470793649,0,2.22295967992966,2.37513338979915,28474,"num_citations_12mo","F1","Maryland"
"16","mailer",0.00343791071959208,0.0829646580273301,0.0414382557746404,0.966946805816128,-0.159176743376191,0.166052564815375,28474,"num_citations_12mo","F1","Maryland"
"17","(Intercept)",0.0882006983149842,0.00559141919001947,15.7742954547962,8.06419694562584e-56,0.0772412520393475,0.0991601445906208,28463,"riskiest_citations_12mo","G1","Maryland"
"18","assignmentMailer",0.00427765864357591,0.010589647970129,0.403947199722052,0.68625458146256,-0.016478552626309,0.0250338699134609,28463,"riskiest_citations_12mo","G1","Maryland"
"19","assignmentText",-0.00953979425592892,0.0080116837705516,-1.19073524731395,0.233767466310774,-0.0252430736697631,0.00616348515790525,28463,"riskiest_citations_12mo","G1","Maryland"
"20","assignmentBoth",0.00717865231735993,0.00918588103579886,0.781487620989599,0.434522254769017,-0.0108261093155944,0.0251834139503142,28463,"riskiest_citations_12mo","G1","Maryland"
"21","(Intercept)",2.43311261496664,0.0519856425745587,46.8035498739296,0,2.33121829484174,2.53500693509153,28463,"num_citations_12mo","H1","Maryland"
"22","assignmentMailer",0.0631812977351454,0.115735127958011,0.545912886172879,0.585130098513364,-0.163665031247629,0.29002762671792,28463,"num_citations_12mo","H1","Maryland"
"23","assignmentText",-0.00143459226607064,0.0848019494740291,-0.0169169727225432,0.986502971002133,-0.167650427234909,0.164781242702768,28463,"num_citations_12mo","H1","Maryland"
"24","assignmentBoth",-0.0235915476337613,0.0874758721473969,-0.269692053987293,0.787399129190633,-0.195048397609361,0.147865302341838,28463,"num_citations_12mo","H1","Maryland"
"25","(Intercept)",0.0205330204345795,0.00100033969653667,20.5260478072278,5.94113801280998e-93,0.0185723073116856,0.0224937335574735,28474,"n_crashes","I1","Maryland"
"26","mailer",-0.000573854591616259,0.00205003929130805,-0.279923703925745,0.779538074193947,-0.00459202857274696,0.00344431938951444,28474,"n_crashes","I1","Maryland"
"27","(Intercept)",0.0201221974338841,0.00139642736016298,14.4097702522354,6.57181625263558e-47,0.0173851337097311,0.0228592611580371,28463,"n_crashes","J1","Maryland"
"28","assignmentMailer",-0.000638396372911593,0.0028292656538909,-0.225640307771612,0.82148280817844,-0.00618389097447325,0.00490709822865007,28463,"n_crashes","J1","Maryland"
