"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","model","sample"
"1","(Intercept)",0.017465872055825,0.00123873136257452,14.0998061270724,6.30991516970414e-45,0.0150378534974268,0.0198938906142231,19631,"riskiest_citations_3mo","A1","Medium risk"
"2","mailer",-0.00070155521526878,0.0028894098584951,-0.242802250157122,0.808161129015561,-0.00636504366095085,0.00496193323041329,19631,"riskiest_citations_3mo","A1","Medium risk"
"3","(Intercept)",0.560255390045454,0.0108990027259832,51.4042802016928,0,0.538892420085833,0.581618360005075,19631,"num_citations_3mo","B1","Medium risk"
"4","mailer",-0.015124518621685,0.0228320207243175,-0.662425757417801,0.507706177380602,-0.0598772161954014,0.0296281789520314,19631,"num_citations_3mo","B1","Medium risk"
"5","(Intercept)",0.0173143516959547,0.00170353903773941,10.163753992354,3.30359958262939e-24,0.0139752707251904,0.0206534326667191,19637,"riskiest_citations_3mo","C1","Medium risk"
"6","assignmentMailer",-4.57093706698068e-05,0.00363973576500433,-0.0125584310568084,0.989980212709844,-0.00717990011258773,0.00708848137124811,19637,"riskiest_citations_3mo","C1","Medium risk"
"7","assignmentText",0.00161558091692357,0.00283766540576932,0.569334535931861,0.569135645798248,-0.00394648390688822,0.00717764574073536,19637,"riskiest_citations_3mo","C1","Medium risk"
"8","assignmentBoth",0.00308600280422799,0.00364578138163496,0.846458545148439,0.397307305292528,-0.00406003785894249,0.0102320434673985,19637,"riskiest_citations_3mo","C1","Medium risk"
"9","(Intercept)",0.591015997654703,0.015395862371489,38.3879761583983,5.9578780007606e-311,0.560838801867418,0.621193193441988,19637,"num_citations_3mo","D1","Medium risk"
"10","assignmentMailer",-0.00227893647753985,0.0339357023308477,-0.0671545399391451,0.946459358934848,-0.0687957907275153,0.0642379177724356,19637,"num_citations_3mo","D1","Medium risk"
"11","assignmentText",-0.0457503903857678,0.0232092872261826,-1.97121048741887,0.0487138235684639,-0.0912425614514739,-0.000258219320061689,19637,"num_citations_3mo","D1","Medium risk"
"12","assignmentBoth",-0.0183979573315217,0.0270524702146392,-0.68008419140836,0.496459170960904,-0.0714230929490409,0.0346271782859976,19637,"num_citations_3mo","D1","Medium risk"
"13","(Intercept)",0.0646149091980732,0.00353219331522184,18.2931406725724,3.87697131048432e-74,0.0576915106466841,0.0715383077494623,19631,"riskiest_citations_12mo","E1","Medium risk"
"14","mailer",-0.00326511799599943,0.00713577418043829,-0.457570252846607,0.647266283032011,-0.0172518407529285,0.0107216047609297,19631,"riskiest_citations_12mo","E1","Medium risk"
"15","(Intercept)",2.14583308741081,0.0357006608115856,60.1062568207267,0,2.07585676355521,2.21580941126642,19631,"num_citations_12mo","F1","Medium risk"
