"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","model","sample"
"1","(Intercept)",0.0204973972400254,0.00274403357790776,7.46980554649554,8.81221901945194e-14,0.0151184375974564,0.0258763568825943,8650,"riskiest_citations_3mo","A1","Virginia"
"2","mailer",0.00175432054363175,0.00606997956500657,0.289015889566648,0.772576144069482,-0.0101442857176966,0.0136529268049601,8650,"riskiest_citations_3mo","A1","Virginia"
"3","(Intercept)",0.541858961376451,0.0213510824230689,25.3785241721982,4.13490769113746e-137,0.500005752434883,0.583712170318018,8650,"num_citations_3mo","B1","Virginia"
"4","mailer",0.0285280544317174,0.0480590498316789,0.593604212560038,0.552792384255465,-0.0656791344256122,0.122735243289047,8650,"num_citations_3mo","B1","Virginia"
"5","(Intercept)",0.0188705876642371,0.0037348775775588,5.05253178246643,4.48072925070627e-07,0.0115489783358978,0.0261921969925763,6404,"riskiest_citations_3mo","C1","Virginia"
"6","assignmentMailer",0.00956206259323126,0.0126552423650431,0.75558115106859,0.449928149665005,-0.0152464454845237,0.0343705706709862,6404,"riskiest_citations_3mo","C1","Virginia"
"7","assignmentText",-0.00660150395953474,0.00509277630207575,-1.29624856227124,0.1949365739435,-0.0165850489904256,0.0033820410713561,6404,"riskiest_citations_3mo","C1","Virginia"
"8","assignmentBoth",0.00175718030048169,0.011330273768318,0.155087188219155,0.876757469895416,-0.0204539461399668,0.0239683067409302,6404,"riskiest_citations_3mo","C1","Virginia"
"9","(Intercept)",0.553759150428669,0.0345074948931272,16.047503655183,7.55485512514078e-57,0.486112918052754,0.621405382804585,6404,"num_citations_3mo","D1","Virginia"
"10","assignmentMailer",0.0874132520225455,0.0928977289975687,0.940962206135666,0.346759719031655,-0.0946973701025036,0.269523874147595,6404,"num_citations_3mo","D1","Virginia"
"11","assignmentText",-0.108204594843558,0.0452932417107983,-2.38897881353811,0.016924050758005,-0.196994498698253,-0.0194146909888619,6404,"num_citations_3mo","D1","Virginia"
"12","assignmentBoth",-0.0013493324450503,0.0584865960207042,-0.0230707980435831,0.981594518053456,-0.116002623782082,0.113303958891981,6404,"num_citations_3mo","D1","Virginia"
"13","(Intercept)",0.0611933630952274,0.00713379926425609,8.57794855566469,1.133159524828e-17,0.0472094167435653,0.0751773094468895,8650,"riskiest_citations_12mo","E1","Virginia"
"14","mailer",0.000621850257677172,0.01881478969373,0.0330511405016874,0.97363456824449,-0.036259620603609,0.0375033211189633,8650,"riskiest_citations_12mo","E1","Virginia"
"15","(Intercept)",1.83269640539657,0.0782383554994068,23.424526163647,1.04917845355655e-117,1.67933058650847,1.98606222428467,8650,"num_citations_12mo","F1","Virginia"
"16","mailer",-0.0153362387364563,0.152787263097214,-0.100376421604583,0.920047814291963,-0.314835679528686,0.284163202055774,8650,"num_citations_12mo","F1","Virginia"
"17","(Intercept)",0.0542582344993396,0.00989055330586101,5.48586442248755,4.27200222328567e-08,0.0348694417362953,0.0736470272623839,6404,"riskiest_citations_12mo","G1","Virginia"
"18","assignmentMailer",0.0336044998492453,0.0444522876197593,0.755967839871259,0.449696283473188,-0.0535368526969277,0.120745852395418,6404,"riskiest_citations_12mo","G1","Virginia"
"19","assignmentText",-0.00389344148705809,0.0164232971779939,-0.237068199208807,0.812611465461011,-0.0360885973719485,0.0283017143978323,6404,"riskiest_citations_12mo","G1","Virginia"
"20","assignmentBoth",-0.00977776981527933,0.0159349521654036,-0.61360521913005,0.53949802737691,-0.0410156061293457,0.021460066498787,6404,"riskiest_citations_12mo","G1","Virginia"
"21","(Intercept)",1.84173516374916,0.129133665984573,14.2622386633799,1.85851260904182e-45,1.58858998459893,2.09488034289939,6404,"num_citations_12mo","H1","Virginia"
"22","assignmentMailer",0.172270095107206,0.3148342033866,0.547177191214093,0.584276071278806,-0.444910252180707,0.789450442395119,6404,"num_citations_12mo","H1","Virginia"
"23","assignmentText",-0.0323978821106169,0.180353181786627,-0.179635766830808,0.857444206812563,-0.385950444609257,0.321154680388024,6404,"num_citations_12mo","H1","Virginia"
"24","assignmentBoth",-0.0368487301718731,0.170136308249257,-0.216583576727714,0.828539784539611,-0.37037280310311,0.296675342759364,6404,"num_citations_12mo","H1","Virginia"
