"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","outcome","model_name"
"1","(Intercept)",0.0244570793140744,0.00104233607878456,23.463717520546,3.11875785298145e-121,0.0215107229355488,0.0274034356926,64044,"riskiest_citations_3mo","A1"
"2","mailer",0.00132396398418369,0.00215510271081159,0.614339157730956,0.53899341414009,-0.00476783380313053,0.00741576177149792,64044,"riskiest_citations_3mo","A1"
"3","(Intercept)",0.648404473843108,0.00818278157746441,79.2401052997468,0,0.625274323035168,0.671534624651049,64044,"num_citations_3mo","B1"
"4","mailer",-0.00556847986936161,0.0168307813761811,-0.330850941789436,0.740758162068309,-0.0531438071295541,0.0420068473908309,64044,"num_citations_3mo","B1"
"5","(Intercept)",0.0234392033040988,0.00130339105534898,17.9832470139387,4.02545195335654e-72,0.0197549221489753,0.0271234844592224,61920,"riskiest_citations_3mo","C1"
"6","assignmentMailer",0.00195552996949928,0.00281101242525485,0.695667494006893,0.486639697868008,-0.00599032792378789,0.00990138786278645,61920,"riskiest_citations_3mo","C1"
"7","assignmentText",0.00136592321924947,0.00230362193049559,0.592945917542819,0.553219512371659,-0.0051456995452491,0.00787754598374804,61920,"riskiest_citations_3mo","C1"
"8","assignmentBoth",-3.50685199894371e-05,0.0023711052323242,-0.0147899466929447,0.988199807732484,-0.00673744559125751,0.00666730855127863,61920,"riskiest_citations_3mo","C1"
"9","(Intercept)",0.659762007505857,0.010492904975477,62.87696391493,0,0.630101828463658,0.689422186548057,61920,"num_citations_3mo","D1"
"10","assignmentMailer",0.0207046081377776,0.024092770404625,0.859370167484059,0.390139650094356,-0.0473981608755574,0.0888073771511126,61920,"num_citations_3mo","D1"
"11","assignmentText",0.007230804527536,0.0179674587146654,0.402438911499158,0.687362427160584,-0.0435576133277469,0.0580192223828189,61920,"num_citations_3mo","D1"
"12","assignmentBoth",-0.00666632608446482,0.0179761054550413,-0.370843734819951,0.710755193249276,-0.0574791855856295,0.0441465334166999,61920,"num_citations_3mo","D1"
"13","(Intercept)",0.079538483700429,0.00246169108637634,32.3105056278655,3.37730554873475e-227,0.0725800569684655,0.0864969104323926,64044,"riskiest_citations_12mo","E1"
"14","mailer",0.00473870972054666,0.00555211153030331,0.853496853347213,0.393387024006977,-0.0109553639612067,0.0204327834023,64044,"riskiest_citations_12mo","E1"
"15","(Intercept)",2.3620158712123,0.0253834245972013,93.0534751986432,0,2.29026491056437,2.43376683186023,64044,"num_citations_12mo","F1"
"16","mailer",-0.00154568418887601,0.053360267558033,-0.0289669497476745,0.976891040065669,-0.152378383813715,0.149287015435963,64044,"num_citations_12mo","F1"
"17","(Intercept)",0.0783661289202354,0.00332624786162102,23.5599186171425,3.43629655018687e-122,0.0689638606880362,0.0877683971524346,61920,"riskiest_citations_12mo","G1"
"18","assignmentMailer",0.0106043609644796,0.00805740125388425,1.31610188326757,0.188144721016785,-0.0121714065054041,0.0333801284343632,61920,"riskiest_citations_12mo","G1"
"19","assignmentText",0.00029626413091852,0.0057513938243356,0.0515117100249598,0.958917937150725,-0.0159611375105406,0.0165536657723777,61920,"riskiest_citations_12mo","G1"
"20","assignmentBoth",0.00124732182371666,0.00557560131615125,0.223710726967412,0.822983136602489,-0.0145131690690784,0.0170078127165117,61920,"riskiest_citations_12mo","G1"
"21","(Intercept)",2.4529061573814,0.0339626562693857,72.2236252054431,0,2.35690429059114,2.54890802417167,61920,"num_citations_12mo","H1"
"22","assignmentMailer",0.130232559646213,0.0788278683287778,1.65211317275554,0.0985165524514841,-0.0925893084266173,0.353054427719043,61920,"num_citations_12mo","H1"
"23","assignmentText",0.0304326854471171,0.0561057404065319,0.542416608828392,0.587533492632439,-0.128160793636329,0.189026164530564,61920,"num_citations_12mo","H1"
"24","assignmentBoth",-0.00887144711432226,0.0551645060608219,-0.160818028616825,0.872237249909181,-0.164804349429022,0.147061455200377,61920,"num_citations_12mo","H1"
"25","(Intercept)",0.0263481718139341,0.000760434491530219,34.6488384040995,1.21579159107854e-260,0.0245348300255309,0.0281615136023373,64044,"n_crashes_12mo","I1"
"26","mailer",-9.8942998592756e-05,0.00157541004404581,-0.0628046005969724,0.949922298352428,-0.00385568588513613,0.00365779988795061,64044,"n_crashes_12mo","I1"
"27","(Intercept)",0.0265576136203573,0.00107731997112114,24.6515560207424,1.5654370200737e-133,0.0239886203752033,0.0291266068655113,61920,"n_crashes_12mo","J1"
"28","assignmentMailer",-0.00133761644743882,0.00219744053196175,-0.608715652589095,0.542715163145258,-0.00657766586132144,0.00390243296644379,61920,"n_crashes_12mo","J1"
"29","assignmentText",0.0015258513581863,0.00179446037193636,0.850312094961337,0.395154881768119,-0.0027532455654543,0.00580494828182691,61920,"n_crashes_12mo","J1"
"30","assignmentBoth",-0.00146466493176827,0.00173093977729838,-0.846167469820523,0.397462596342721,-0.00559228969957082,0.00266295983603427,61920,"n_crashes_12mo","J1"
